-23,-1009
-82,-11,-1015
-75,-3,-997
-52,-2,-991
-14,-7,-995
-6,-12,-999
1,-22,-1001
-10,-24,-994
-26,-21,-997
-28,-21,-1007
-44,-16,-1012
-59,-10,-1016
-92,-5,-1010
-96,-7,-1013
-93,-10,-1022
-73,-12,-1029
-62,-12,-1017
-65,-12,-998
-37,-18,-999
-14,-19,-1004
-3,-22,-1008
-5,-17,-999
-26,-13,-993
-36,-14,-1005
-39,-16,-1018
-61,-13,-1024
-73,-9,-1023
-106,-10,-1012
-86,-10,-1019
-75,-12,-1011
-65,-12,-1005
-55,-12,-993
-44,-17,-997
-8,-23,-1008
-8,-21,-1006
-7,-15,-1004
-18,-10,-998
-31,-8,-996
-41,-9,-999
-62,-13,-1003
-75,-16,-1013
-93,-19,-1015
-91,-19,-1018
-79,-18,-1028
-57,-15,-1029
-40,-12,-1033
-21,-10,-1026
-10,-9,-1013
-14,-10,-1001
-21,-18,-991
-37,-22,-983
-51,-25,-983
-63,-24,-984
-74,-15,-988
-73,-13,-1005
-70,-6,-1011
-66,-3,-1018
-58,-6,-1024
-51,-9,-1026
-44,-16,-1029
-35,-24,-1030
-29,-25,-1020
-24,-23,-1009
-23,-19,-1004
-27,-13,-999
-34,-10,-994
-50,-9,-993
-67,-8,-990
-70,-14,-996
-77,-17,-1001
-79,-18,-1006
-68,-17,-1007
-53,-19,-1014
-33,-13,-1021
-23,-12,-1024
-13,-10,-1027
-15,-15,-1022
-30,-18,-1011
-37,-21,-1009
-56,-19,-996
-66,-18,-992
-74,-18,-991
-75,-12,-993
-72,-11,-996
-62,-9,-997
-53,-10,-1007
-41,-14,-1013
-31,-17,-1019
-24,-17,-1023
-22,-19,-1028
-25,-20,-1023
-31,-16,-1018
-43,-13,-1015
-53,-11,-1009
-63,-10,-1005
-73,-10,-998
-72,-14,-999
-72,-16,-993
-62,-18,-996
-50,-19,-1003
-38,-16,-1008
-26,-16,-1014
-19,-16,-1016
-21,-13,-1018
-25,-15,-1024
-39,-17,-1021
-50,-15,-1016
-61,-16,-1014
-72,-15,-1008
-72,-14,-1001
-69,-16,-1000
-59,-14,-995
-46,-12,-998
-37,-13,-1004
-28,-14,-1000
-20,-18,-1007
-18,-16,-1016
-26,-16,-1020
-40,-16,-1020
-51,-18,-1020
-60,-15,-1018
-65,-12,-1018
-68,-11,-1012
-67,-12,-1007
-60,-11,-1001
-51,-16,-998
-42,-14,-1000
-33,-18,-1003
-26,-20,-1003
-21,-16,-1004
-25,-16,-1007
-31,-15,-1011
-41,-13,-1010
-52,-9,-1009
-59,-15,-1001
-70,-14,-1000
-64,-17,-997
-60,-19,-1008
-55,-17,-1013
-38,-18,-1020
-27,-15,-1029
-18,-16,-1034
-18,-17,-1034
-18,-17,-1031
-29,-18,-1019
-40,-17,-1012
-50,-12,-1005
-60,-17,-993
-69,-15,-987
-66,-15,-987
-61,-16,-980
-57,-15,-983
-46,-17,-992
-37,-17,-996
-27,-16,-1012
-16,-16,-1023
-22,-15,-1031
-26,-17,-1034
-37,-13,-1033
-46,-15,-1032
-56,-15,-1026
-67,-12,-1014
-70,-13,-1002
-68,-16,-995
-60,-16,-988
-49,-16,-984
-40,-16,-981
-29,-17,-987
-22,-15,-994
-22,-17,-1001
-22,-15,-1016
-33,-15,-1024
-44,-16,-1029
-54,-16,-1034
