,1019
92,-66,997
88,-64,999
85,-65,1009
86,-68,1015
77,-68,1018
66,-69,1027
62,-62,1031
65,-64,1038
59,-63,1037
58,-66,1038
66,-65,1033
71,-64,1024
77,-61,1020
73,-57,1014
89,-60,1005
94,-62,1000
86,-62,1003
103,-61,1007
121,-60,1011
122,-57,1019
133,-57,1025
145,-63,1031
159,-63,1035
172,-64,1034
178,-62,1033
172,-59,1026
167,-58,1021
165,-58,1015
165,-57,1009
172,-55,1007
197,-51,1003
204,-54,1008
207,-57,1012
171,-59,1016
123,-60,1029
161,-58,1031
189,-60,1036
214,-62,1028
233,-65,1024
232,-63,1021
243,-67,1014
256,-69,1015
270,-72,1008
281,-78,1007
282,-81,1009
286,-86,1009
294,-92,1010
294,-95,1019
301,-102,1020
312,-114,1021
307,-120,1020
312,-125,1018
312,-133,1017
304,-144,1007
298,-150,1005
277,-159,1006
256,-171,1009
245,-177,1013
237,-182,1015
238,-191,1015
237,-202,1016
225,-207,1019
222,-221,1016
220,-227,1015
215,-236,1008
190,-249,1007
176,-257,1000
159,-266,1002
133,-269,1002
105,-267,1008
94,-272,1007
77,-280,1011
63,-284,1013
49,-283,1014
39,-279,1014
29,-277,1016
31,-277,1013
39,-280,1009
43,-284,1010
64,-282,1007
51,-277,1005
32,-275,1003
0,-270,1007
-14,-268,1009
-17,-271,1011
-19,-271,1014
-42,-258,1020
-80,-253,1024
-93,-248,1032
-117,-235,1030
-125,-233,1025
-140,-216,1024
-155,-203,1018
-172,-194,1016
-205,-187,1010
-194,-160,1012
-151,-157,1010
-157,-152,1012
-160,-142,1010
-182,-123,1017
-206,-113,1024
-204,-115,1023
-191,-102,1028
-198,-86,1029
-207,-73,1033
-221,-73,1026
-234,-68,1027
-196,-68,1023
-170,-61,1025
-131,-58,1020
-88,-54,1016
-87,-50,1018
-74,-51,1017
-65,-55,1018
-49,-51,1022
-30,-55,1023
-36,-52,1031
-23,-47,1031
-27,-46,1029
-25,-41,1035
-20,-43,1032
-23,-41,1028
-10,-40,1022
-15,-42,1017
-31,-43,1012
-46,-41,1012
-76,-38,1012
-72,-37,1015
-65,-35,1019
-48,-39,1017
-42,-39,1024
-36,-34,1030
-64,-34,1035
-54,-33,1037
-60,-36,1036
-56,-35,1035
-30,-34,1024
-24,-34,1024
-17,-35,1015
-21,-31,1012
-33,-30,1008
-32,-31,1008
-29,-30,1012
-20,-33,1015
5,-38,1021
20,-40,1030
57,-45,1038
91,-45,1039
109,-46,1040
121,-45,1034
116,-45,1030
99,-42,1024
67,-39,1011
33,-33,1005
3,-34,1004
-7,-34,1002
-22,-34,1003
-20,-32,1009
-3,-45,1014
-12,-25,1024
-72,-28,1043
-63,-36,1044
-59,-32,1048
-91,-33,1051
-64,-33,1041
-78,-31,1030
-82,-32,1021
-74,-35,1007
-89,-33,1002
-103,-32,996
-106,-35,1000
-114,-37,1008
-109,-39,1016
-92,-41,1021
-96,-45,1023
-112,-45,1026
-114,-47,1035
-111,-55,1048
-101,-58,1055
-83,-63,1047
-78,-64,1039
-80,-62,1027
-78,-65,1019
-76,-65,1011
-66,-71,1013
-63,-71,1010
-69,-74,1005
-80,-78,1007
-80,-83,1006
-99,-83,1013
-95,-88,1019
-99,-91,1030
-88,-95,1032
-74,-101,1033
-67,-105,1036
-66,-111,1029
-60,-114,1022
-39,-119,1019
-15,-124,1014
-8,-127,1005
21,-128,1003
14,-127,998
-2,-126,1005
52,-131,1014
66,-131,1015
57,-126,1016
55,-128,1018
49,-130,1015
47,-135,1033
74,-132,1033
73,-132,1036
43,-128,1036
25,-129,1037
12,-128,1037
3,-127,1036
6,-127,1022
9,-129,1011
2,-129,1003
16,-131,992
13,-132,992
20,-134,989
23,-130,994
15,-132,1002
8,-136,1014
-3,-139,1027
1,-141,1043
14,-142,1048
3,-136,1050
-1,-142,1051
4,-148,1042
-12,-146,1031
5,-146,1022
6,-145,1006
0,-143,992
12,-150,991
5,-151,986
5,-148,984
51,-152,985
84,-150,996
99,-151,998
130,-146,1007
128,-142,1020
133,-136,1031
127,-158,1050
123,-148,1058
131,-140,1050
148,-141,1044
139,-139,1025
117,-133,1014
110,-121,995
116,-115,984
127,-113,980
144,-114,981
127,-114,982
126,-115,995
126,-110,1008
140,-106,1024
152,-99,1040
158,-103,1042
166,-102,1043
164,-101,1041
155,-96,1036
152,-89,1026
161,-90,1016
165,-90,1001
143,-85,996
140,-83,992
138,-77,995
145,-72,1005
160,-72,1008
156,-75,1019
151,-77,1024
157,-75,1033
179,-70,1033
201,-67,1039
207,-64,1039
185,-66,1038
174,-68,1024
183,-62,1013
183,-58,1008
186,-54,1003
196,-53,995
194,-58,988
193,-59,991
185,-62,1004
186,-60,1009
196,-53,1022
176,-56,1035
152,-57,1039
98,-57,1045
29,-51,1051
16,-45,1051
24,-40,1038
33,-38,1029
38,-42,1008
42,-45,998
45,-48,990
60,-47,984
68,-43,986
81,-41,999
92,-47,1003
115,-52,1018
138,-59,1030
147,-62,1043
135,-59,1053
123,-53,1061
136,-53,1061
166,-62,1053
202,-69,1036
235,-70,1019
266,-68,1007
294,-72,990
302,-74,982
310,-83,971
310,-93,970
304,-95,975
306,-97,984
306,-96,1003
311,-105,1018
315,-114,1038
301,-128,1048
278,-133,1057
257,-139,1052
223,-141,1040
203,-145,1022
193,-152,1002
191,-156,982
180,-159,974
152,-159,969
167,-162,981
191,-172,986
191,-177,999
188,-187,1010
178,-196,1026
166,-200,1040
149,-210,1055
142,-225,1051
135,-233,1041
126,-227,1028
121,-222,1012
117,-223,992
90,-214,976
82,-229,967
74,-233,970
57,-233,981
45,-227,990
24,-228,1008
6,-231,1024
-20,-231,1046
-31,-227,1054
-34,-224,1053
-29,-214,1052
-17,-213,1034
-24,-210,1015
-35,-198,1003
-36,-192,991
-46,-186,986
-47,-182,981
-48,-187,991
-66,-179,1002
-60,-175,1010
-64,-173,1027
-71,-171,1040
-61,-170,1055
-77,-165,1054
-79,-165,1048
-81,-153,1034
-79,-146,1019
-80,-137,1006
-88,-129,996
-89,-134,987
-94,-122,986
-117,-114,1000
-126,-101,1013
-71,-76,1030
-136,-94,1046
-119,-76,1057
-42,-90,1049
-55,-74,1053
-69,-76,1042
-49,-73,1025
-82,-68,1013
-62,-72,1000
-42,-70,986
-40,-69,984
-57,-68,984
-25,-66,987
-80,-62,1003
-69,-60,1009
-85,-53,1018
-111,-48,1032
-74,-52,1047
-114,-51,1062
-118,-51,1072
-135,-50,1070
-160,-42,1064
-158,-39,1049
-167,-28,1025
-161,-23,1012
-170,-18,999
-165,-14,989
-179,-16,990
-157,-20,986
-147,-23,989
-149,-25,1005
-114,-29,1026
-51,-35,1041
31,-42,1058
126,-50,1067
136,-47,1065
143,-45,1066
139,-44,1056
148,-46,1039
134,-48,1028
138,-47,997
102,-44,974
56,-37,959
30,-32,956
